104.17.54.107:443#vvHan优选 | 移动 | HKG | 104.17.54.107
104.17.31.15:443#vvHan优选 | 移动 | HKG | 104.17.31.15
104.17.221.178:443#vvHan优选 | 移动 | HKG | 104.17.221.178
104.17.107.75:443#vvHan优选 | 移动 | HKG | 104.17.107.75
104.16.254.55:443#vvHan优选 | 移动 | HKG | 104.16.254.55
172.67.251.62:443#vvHan优选 | 联通 | LAX | 172.67.251.62
172.67.173.242:443#vvHan优选 | 联通 | LAX | 172.67.173.242
162.159.160.88:443#vvHan优选 | 联通 | Default | 162.159.160.88
104.18.47.232:443#vvHan优选 | 电信 | SIN | 104.18.47.232
104.18.47.227:443#vvHan优选 | 电信 | SIN | 104.18.47.227
104.18.42.46:443#vvHan优选 | 电信 | SIN | 104.18.42.46
104.20.25.155:443#vvHan优选 | 电信 | FRA | 104.20.25.155
104.20.25.121:443#vvHan优选 | 电信 | FRA | 104.20.25.121
104.17.49.122:443#vvHan优选 | 电信 | Default | 104.17.49.122
104.16.100.152:443#vvHan优选 | 电信 | Default | 104.16.100.152
160.30.54.63:443#VN 🇻🇳
103.197.185.178:443#VN [优选高速 1377.92ms 10.58Mbps]
160.25.75.40:443#VN [优选高速 116.2ms 8.23Mbps]
2.27.132.160:8443#US 🇺🇸
13.248.215.36:443#US 🇺🇸
18.161.232.228:443#US 🇺🇸
18.172.126.81:443#US 🇺🇸
23.141.12.134:8443#US 🇺🇸
31.57.46.109:2053#US 🇺🇸
45.158.127.48:443#US 🇺🇸
52.85.210.56:443#US 🇺🇸
52.85.210.129:443#US 🇺🇸
52.85.210.141:443#US 🇺🇸
68.64.182.74:443#US 🇺🇸
77.110.114.56:443#US 🇺🇸
91.110.174.173:8443#US 🇺🇸
91.110.174.202:8443#US 🇺🇸
96.44.160.17:8080#US 🇺🇸
103.31.4.1:443#US 🇺🇸
103.31.4.2:443#US 🇺🇸
103.31.4.3:443#US 🇺🇸
103.31.4.4:443#US 🇺🇸
103.31.4.5:443#US 🇺🇸
103.31.4.6:443#US 🇺🇸
103.31.4.7:443#US 🇺🇸
103.31.4.9:443#US 🇺🇸
103.196.20.32:8443#US 🇺🇸
104.16.0.3:443#US 🇺🇸
104.16.0.5:443#US 🇺🇸
104.16.0.8:443#US 🇺🇸
104.16.61.221:443#US 🇺🇸
104.16.65.1:443#US 🇺🇸
104.16.73.77:443#US 🇺🇸
104.16.82.206:443#US 🇺🇸
104.16.105.166:443#US 🇺🇸
104.16.144.249:443#US 🇺🇸
104.16.146.28:443#US 🇺🇸
104.16.147.147:443#US 🇺🇸
104.16.156.135:443#US 🇺🇸
104.16.204.96:443#US 🇺🇸
104.16.216.79:443#US 🇺🇸
104.16.227.211:443#US 🇺🇸
104.17.0.2:443#US 🇺🇸
104.17.0.5:443#US 🇺🇸
104.17.0.6:443#US 🇺🇸
104.17.0.8:443#US 🇺🇸
104.17.51.141:443#US 🇺🇸
104.17.59.88:443#US 🇺🇸
104.17.69.244:443#US 🇺🇸
104.17.109.10:443#US 🇺🇸
104.17.110.86:443#US 🇺🇸
104.17.117.85:443#US 🇺🇸
104.17.139.37:443#US 🇺🇸
104.17.142.212:443#US 🇺🇸
104.17.162.3:443#US 🇺🇸
104.17.167.134:443#US 🇺🇸
104.17.167.211:443#US 🇺🇸
104.17.174.39:443#US 🇺🇸
104.17.177.38:443#US 🇺🇸
104.17.182.64:443#US 🇺🇸
104.17.209.127:443#US 🇺🇸
104.17.211.60:443#US 🇺🇸
104.17.212.199:443#US 🇺🇸
104.17.241.65:443#US 🇺🇸
104.18.0.3:443#US 🇺🇸
104.18.0.6:443#US 🇺🇸
104.18.0.8:443#US 🇺🇸
104.18.40.96:443#US 🇺🇸
104.18.43.166:443#US 🇺🇸
104.18.47.237:443#US 🇺🇸
104.18.81.19:443#US 🇺🇸
104.18.89.52:443#US 🇺🇸
104.18.151.172:443#US 🇺🇸
104.18.166.129:443#US 🇺🇸
104.18.189.153:443#US 🇺🇸
104.18.210.184:443#US 🇺🇸
104.18.223.253:443#US 🇺🇸
104.18.242.235:443#US 🇺🇸
104.18.255.167:443#US 🇺🇸
104.19.0.2:443#US 🇺🇸
104.19.0.8:443#US 🇺🇸
104.19.43.229:443#US 🇺🇸
104.19.52.230:443#US 🇺🇸
104.19.57.2:443#US 🇺🇸
104.19.57.144:443#US 🇺🇸
104.19.128.72:443#US 🇺🇸
104.19.136.73:443#US 🇺🇸
104.19.148.121:443#US 🇺🇸
104.19.151.130:443#US 🇺🇸
104.19.154.200:443#US 🇺🇸
104.19.158.25:443#US 🇺🇸
104.19.199.209:443#US 🇺🇸
104.19.201.100:443#US 🇺🇸
104.19.212.207:443#US 🇺🇸
104.19.220.22:443#US 🇺🇸
104.20.21.16:443#US 🇺🇸
104.25.246.206:443#US 🇺🇸
104.25.249.70:443#US 🇺🇸
104.25.252.150:443#US 🇺🇸
104.26.3.162:443#US 🇺🇸
104.26.4.90:443#US 🇺🇸
104.26.5.134:443#US 🇺🇸
104.26.8.117:443#US 🇺🇸
104.31.16.158:443#US 🇺🇸
104.168.87.41:16443#US 🇺🇸
108.156.96.136:443#US 🇺🇸
108.162.192.1:443#US 🇺🇸
108.162.192.2:443#US 🇺🇸
108.162.192.4:443#US 🇺🇸
108.162.192.5:443#US 🇺🇸
108.162.192.7:443#US 🇺🇸
108.162.192.8:443#US 🇺🇸
142.248.218.121:2053#US 🇺🇸
142.248.219.129:2053#US 🇺🇸
142.248.219.248:2053#US 🇺🇸
150.230.168.70:50479#US 🇺🇸
162.159.0.1:443#US 🇺🇸
162.159.0.3:443#US 🇺🇸
162.159.0.4:443#US 🇺🇸
162.159.0.5:443#US 🇺🇸
162.159.0.6:443#US 🇺🇸
162.159.0.7:443#US 🇺🇸
162.159.0.8:443#US 🇺🇸
162.159.0.9:443#US 🇺🇸
162.159.24.131:443#US 🇺🇸
162.159.58.65:443#US 🇺🇸
162.159.61.183:443#US 🇺🇸
162.159.128.253:443#US 🇺🇸
162.159.136.89:443#US 🇺🇸
162.159.137.204:443#US 🇺🇸
162.159.140.85:443#US 🇺🇸
162.159.140.116:443#US 🇺🇸
162.159.192.1:443#US 🇺🇸
162.159.193.1:443#US 🇺🇸
162.159.197.1:443#US 🇺🇸
162.159.197.1:8443#US 🇺🇸
162.159.198.1:443#US 🇺🇸
162.159.198.1:8443#US 🇺🇸
162.159.199.1:443#US 🇺🇸
162.159.199.1:8443#US 🇺🇸
166.62.104.98:2096#US 🇺🇸
172.64.32.1:443#US 🇺🇸
172.64.32.3:443#US 🇺🇸
172.64.32.4:443#US 🇺🇸
172.64.32.5:443#US 🇺🇸
172.64.32.6:443#US 🇺🇸
172.64.32.8:443#US 🇺🇸
172.64.48.226:443#US 🇺🇸
172.64.52.127:443#US 🇺🇸
172.64.52.234:443#US 🇺🇸
172.64.53.63:443#US 🇺🇸
172.64.91.69:443#US 🇺🇸
172.64.229.7:443#US 🇺🇸
172.65.208.161:443#US 🇺🇸
172.65.215.202:443#US 🇺🇸
172.93.231.224:8443#US 🇺🇸
173.245.49.194:443#US 🇺🇸
192.9.228.70:14123#US 🇺🇸
198.41.208.224:443#US 🇺🇸
198.62.62.123:2083#US 🇺🇸
199.119.137.109:2053#US 🇺🇸
207.246.66.85:443#US 🇺🇸
209.206.51.240:443#US 🇺🇸
45.144.136.19:8443#US [优选高速 68.7ms 8.64Mbps]
216.40.85.231:443#US [优选高速 162.27ms 8.91Mbps]
207.57.143.228:443#US [优选高速 162.16ms 8.49Mbps]
216.40.86.109:443#US [优选高速 161.57ms 9.22Mbps]
208.68.180.63:2096#US [优选高速 161.25ms 9.26Mbps]
179.253.226.115:2053#US [优选高速 161.0ms 8.43Mbps]
179.255.146.20:8443#US [优选高速 160.89ms 8.49Mbps]
43.213.230.249:443#TW 🇹🇼
45.207.159.187:443#TW 🇹🇼
60.249.101.167:443#TW 🇹🇼
83.147.15.86:443#TW 🇹🇼
85.237.207.72:443#TW 🇹🇼
202.148.220.45:8443#TW 🇹🇼
203.69.11.79:443#TW 🇹🇼
203.69.11.80:443#TW 🇹🇼
203.69.11.81:443#TW 🇹🇼
203.69.248.40:33699#TW 🇹🇼
211.72.147.91:443#TW 🇹🇼
151.242.188.249:443#TW [优选高速 88.72ms 13.99Mbps]
140.235.38.47:443#TW [优选高速 81.86ms 15.03Mbps]
45.150.128.159:443#TH [优选高速 133.13ms 8.76Mbps]
8.222.185.236:443#SG 🇸🇬
27.50.48.59:2096#SG 🇸🇬
27.50.48.69:2083#SG 🇸🇬
27.50.48.142:2083#SG 🇸🇬
27.50.48.255:8443#SG 🇸🇬
45.77.173.72:443#SG 🇸🇬
45.77.254.160:443#SG 🇸🇬
54.169.57.101:8443#SG 🇸🇬
54.179.213.8:8443#SG 🇸🇬
139.180.158.70:443#SG 🇸🇬
207.148.71.119:443#SG 🇸🇬
207.148.119.176:8443#SG 🇸🇬
207.148.120.55:443#SG 🇸🇬
207.148.120.87:443#SG 🇸🇬
213.35.100.31:47112#SG 🇸🇬
216.107.138.117:34237#SG 🇸🇬
157.245.56.32:443#SG [优选高速 93.64ms 12.93Mbps]
178.128.92.205:8443#SG [优选高速 92.92ms 11.39Mbps]
161.118.200.170:443#SG [优选高速 92.75ms 8.67Mbps]
152.42.235.119:443#SG [优选高速 90.5ms 9.45Mbps]
89.22.234.164:8443#SE 🇸🇪
64.186.254.109:8443#S5公益优选 | 战争贩子 | US | 64.186.254.109:8443
45.76.169.250:443#S5公益优选 | 战争贩子 | US | 45.76.169.250:443
207.246.97.245:443#S5公益优选 | 战争贩子 | US | 207.246.97.245:443
192.220.28.221:2083#S5公益优选 | 战争贩子 | US | 192.220.28.221:2083
212.60.5.118:8443#S5公益优选 | 战斗毛子 | RU | 212.60.5.118:8443
212.60.5.118:2053#S5公益优选 | 战斗毛子 | RU | 212.60.5.118:2053
185.179.82.246:443#S5公益优选 | 战斗毛子 | RU | 185.179.82.246:443
185.179.82.201:443#S5公益优选 | 战斗毛子 | RU | 185.179.82.201:443
176.32.37.118:443#S5公益优选 | 战斗毛子 | RU | 176.32.37.118:443
64.226.88.144:443#S5公益优选 | 元首复活 | DE | 64.226.88.144:443
64.226.88.144:2053#S5公益优选 | 元首复活 | DE | 64.226.88.144:2053
5.187.0.164:443#S5公益优选 | 元首复活 | DE | 5.187.0.164:443
141.95.41.46:443#S5公益优选 | 元首复活 | DE | 141.95.41.46:443
109.94.170.104:443#S5公益优选 | 元首复活 | DE | 109.94.170.104:443
5.223.59.9:443#S5公益优选 | 印加坡县 | SG | 5.223.59.9:443
5.223.52.82:443#S5公益优选 | 印加坡县 | SG | 5.223.52.82:443
5.223.51.84:443#S5公益优选 | 印加坡县 | SG | 5.223.51.84:443
172.104.59.228:8443#S5公益优选 | 印加坡县 | SG | 172.104.59.228:8443
172.104.186.18:8443#S5公益优选 | 印加坡县 | SG | 172.104.186.18:8443
172.237.5.208:2053#S5公益优选 | 小日本儿 | JP | 172.237.5.208:2053
172.104.86.229:443#S5公益优选 | 小日本儿 | JP | 172.104.86.229:443
172.104.81.253:443#S5公益优选 | 小日本儿 | JP | 172.104.81.253:443
172.104.80.248:443#S5公益优选 | 小日本儿 | JP | 172.104.80.248:443
172.104.120.92:443#S5公益优选 | 小日本儿 | JP | 172.104.120.92:443
64.110.70.64:443#S5公益优选 | 泡菜欧巴 | KR | 64.110.70.64:443
158.247.198.196:443#S5公益优选 | 泡菜欧巴 | KR | 158.247.198.196:443
152.70.254.197:443#S5公益优选 | 泡菜欧巴 | KR | 152.70.254.197:443
146.56.187.1:8443#S5公益优选 | 泡菜欧巴 | KR | 146.56.187.1:8443
132.145.91.181:8443#S5公益优选 | 泡菜欧巴 | KR | 132.145.91.181:8443
31.59.103.186:8443#S5公益优选 | 每日乳法 | FR | 31.59.103.186:8443
31.59.103.152:8443#S5公益优选 | 每日乳法 | FR | 31.59.103.152:8443
31.56.176.37:2053#S5公益优选 | 每日乳法 | FR | 31.56.176.37:2053
217.60.37.28:8443#S5公益优选 | 每日乳法 | FR | 217.60.37.28:8443
217.60.37.28:2053#S5公益优选 | 每日乳法 | FR | 217.60.37.28:2053
188.132.232.192:2053#S5公益优选 | 烤肉火鸡 | TR | 188.132.232.192:2053
188.132.183.17:443#S5公益优选 | 烤肉火鸡 | TR | 188.132.183.17:443
185.39.204.17:443#S5公益优选 | 烤肉火鸡 | TR | 185.39.204.17:443
185.219.132.27:443#S5公益优选 | 烤肉火鸡 | TR | 185.219.132.27:443
23.175.201.2:8443#S5公益优选 | 港岛茶记 | HK | 23.175.201.2:8443
154.16.183.190:443#S5公益优选 | 港岛茶记 | HK | 154.16.183.190:443
178.128.227.189:443#S5公益优选 | 枫叶之国 | CA | 178.128.227.189:443
166.1.228.218:443#S5公益优选 | 枫叶之国 | CA | 166.1.228.218:443
159.203.35.153:443#S5公益优选 | 枫叶之国 | CA | 159.203.35.153:443
158.69.201.4:8443#S5公益优选 | 枫叶之国 | CA | 158.69.201.4:8443
146.190.255.153:443#S5公益优选 | 枫叶之国 | CA | 146.190.255.153:443
79.132.139.128:443#S5公益优选 | 风车郁金 | NL | 79.132.139.128:443
213.183.61.100:8443#S5公益优选 | 风车郁金 | NL | 213.183.61.100:8443
185.246.155.198:443#S5公益优选 | 风车郁金 | NL | 185.246.155.198:443
185.18.52.254:2053#S5公益优选 | 风车郁金 | NL | 185.18.52.254:2053
185.138.88.76:443#S5公益优选 | 风车郁金 | NL | 185.138.88.76:443
85.192.31.252:443#S5公益优选 | 大嘤帝国 | UK | 85.192.31.252:443
83.147.254.8:443#S5公益优选 | 大嘤帝国 | UK | 83.147.254.8:443
77.68.97.197:443#S5公益优选 | 大嘤帝国 | UK | 77.68.97.197:443
35.176.75.87:443#S5公益优选 | 大嘤帝国 | UK | 35.176.75.87:443
138.124.49.50:8443#S5公益优选 | 大嘤帝国 | UK | 138.124.49.50:8443
82.152.91.210:443#S5公益优选 | 宝岛正妹 | TW | 82.152.91.210:443
77.232.143.161:443#S5公益优选 | 🇸🇪 瑞典 20 | 77.232.143.161:443
138.124.59.252:443#S5公益优选 | 🇸🇪 瑞典 19 | 138.124.59.252:443
213.21.240.183:8443#S5公益优选 | 🇸🇪 瑞典 18 | 213.21.240.183:8443
94.242.59.31:443#S5公益优选 | 🇸🇪 瑞典 17 | 94.242.59.31:443
109.120.134.216:443#S5公益优选 | 🇸🇪 瑞典 16 | 109.120.134.216:443
62.182.192.194:443#S5公益优选 | 🇸🇪 瑞典 15 | 62.182.192.194:443
83.147.254.63:443#S5公益优选 | 🇸🇪 瑞典 14 | 83.147.254.63:443
83.147.254.71:443#S5公益优选 | 🇸🇪 瑞典 13 | 83.147.254.71:443
84.32.99.175:8443#S5公益优选 | 🇸🇪 瑞典 12 | 84.32.99.175:8443
62.60.152.13:443#S5公益优选 | 🇸🇪 瑞典 11 | 62.60.152.13:443
62.182.193.175:443#S5公益优选 | 🇸🇪 瑞典 10 | 62.182.193.175:443
79.137.206.195:443#S5公益优选 | 🇸🇪 瑞典 09 | 79.137.206.195:443
185.58.115.45:443#S5公益优选 | 🇸🇪 瑞典 08 | 185.58.115.45:443
84.22.148.114:443#S5公益优选 | 🇸🇪 瑞典 07 | 84.22.148.114:443
84.32.217.6:8443#S5公益优选 | 🇸🇪 瑞典 06 | 84.32.217.6:8443
